demand,phase,variant,label,scope,high_mean,full_mean,full_vs_high,high_sale_rate,full_sale_rate,negative_edges,worst_change,seven_day_cover_count
draft,2,pref50,선호50%,existing_csv,12482.71875,9276.002083333333,-0.25689248719688307,1,1,82,-0.10677911403186637,58
draft,2,pref100,선호100%,existing_csv,14054.520833333334,10055.564583333333,-0.28453166759805937,1,1,87,-0.12069230936352604,60
draft,2,weight4,고급 진열4배,code_required,14739.1625,12915.339583333332,-0.12373992868771666,1,1,59,-0.062420647091082415,62
draft,2,weight20,고급 진열20배,diagnostic_code,14826.420833333334,14897.029166666667,0.0047623316596132614,1,1,29,-0.06112704632369315,71
draft,2,all,진열 제한 제거,diagnostic_code,10703.09375,7364.464583333333,-0.31193122704981135,1,1,110,-0.1738763227532538,40
draft,2,uniform,선호 무시,diagnostic_code,14293.977083333333,9866.76875,-0.3097254394296899,1,1,81,-0.12627390673614486,62
draft,2,all_uniform,진열 제한·선호 제거,diagnostic_code,11535.927083333334,7771.989583333333,-0.3262795848838186,1,1,93,-0.19699248862964305,42
draft,2,strict,선호 없으면 미구매,code_required,6642.054166666667,7801.372916666666,0.17454220048642077,0.509,0.8045833333333333,54,-0.1436699873035263,48
draft,2,strict_all,미구매 규칙·전체 진열,diagnostic_code,6764.914583333333,7364.464583333333,0.0886263961820164,0.657375,1,65,-0.1547875928728938,63
draft,2,top,고가순 진열,code_required,14308.666666666666,16126.745833333332,0.12706139635652058,1,1,10,-0.03255871307662127,105
